pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,mean_height_m
8,130,Udaipur,2019,2.0465176005432527e9,7.567075696579163e8,0.36975375606691413
8,130,Udaipur,2020,2.090567406343582e9,7.760825582258095e8,0.37123058355874
8,130,Udaipur,2021,2.154609981105583e9,7.928381130883496e8,0.3679729139106303
8,130,Udaipur,2022,2.1103551064200635e9,6.530836644325533e8,0.30946624217211616
8,130,Udaipur,2023,2.1945712471603475e9,6.897992309331565e8,0.3143207274886692
8,131,Pratapgarh,2016,6.29523939596829e8,1.5572540230530897e8,0.24737010383598979
8,131,Pratapgarh,2017,6.670305934722924e8,1.648129045920336e8,0.24708447589200375
8,131,Pratapgarh,2018,6.726770329368563e8,1.8114833025630903e8,0.2692946561077451
8,131,Pratapgarh,2019,6.86494722239411e8,1.9460035200634387e8,0.28346955293631254
8,131,Pratapgarh,2020,7.282033536385033e8,1.9860945992563894e8,0.27273900749464713
8,131,Pratapgarh,2021,7.22714483470148e8,2.0223196362777033e8,0.2798227630042004
8,131,Pratapgarh,2022,6.431014038381357e8,1.381290561365686e8,0.21478581031263735
8,131,Pratapgarh,2023,6.836415763094784e8,1.3979880758681595e8,0.20449137739909823
9,132,Saharanpur,2016,4.580827253346507e8,5.473896370872787e8,1.194958043194895
9,132,Saharanpur,2017,4.8959166731262267e8,4.681094640382014e8,0.9561222040556011
9,132,Saharanpur,2018,5.178842066106655e8,4.768065847204988e8,0.9206818409099546
9,132,Saharanpur,2019,5.452164439876531e8,5.596032102062094e8,1.026387256615617
9,132,Saharanpur,2020,5.593272108125079e8,5.638028963290517e8,1.0080019091330141
9,132,Saharanpur,2021,5.792525192374617e8,5.655372388724145e8,0.9763224502103119
9,132,Saharanpur,2022,6.031594941420956e8,5.619487879045651e8,0.9316752755485569
9,132,Saharanpur,2023,5.962439823331418e8,5.564870001567477e8,0.933320950224399
9,133,Muzaffarnagar,2016,5.304797882268726e8,6.05726424219258e8,1.1418463769258713
9,133,Muzaffarnagar,2017,5.833324553844324e8,5.2629556565014666e8,0.9022223275804243
9,133,Muzaffarnagar,2018,6.136549643266697e8,5.333098867900367e8,0.8690712497945954
9,133,Muzaffarnagar,2019,6.586846758205577e8,6.22477619716995e8,0.945031276067782
9,133,Muzaffarnagar,2020,6.714208319831839e8,6.288203218292714e8,0.9365517003276727
9,133,Muzaffarnagar,2021,6.766448924530598e8,6.38668376195e8,0.9438752635516358
9,133,Muzaffarnagar,2022,7.025537890700482e8,6.28568045309959e8,0.8946902786503762
9,133,Muzaffarnagar,2023,7.060580716553233e8,5.752201281220254e8,0.8146923761857805
9,134,Bijnor,2016,4.811579344867992e8,4.5815966411665386e8,0.9522022422956089
9,134,Bijnor,2017,5.055596851150888e8,5.072717084171167e8,1.0033863920570292
9,134,Bijnor,2018,5.310993342104896e8,4.745152328252902e8,0.8934585345144238
9,134,Bijnor,2019,5.501753227081801e8,5.720848223541474e8,1.0398227596579943
9,134,Bijnor,2020,5.660487755136528e8,5.596506212113305e8,0.9886968145165294
9,134,Bijnor,2021,5.778618652295115e8,5.717288878231583e8,0.9893867760179721
9,134,Bijnor,2022,6.09140861691525e8,5.33797854296377e8,0.8763126689844319
9,134,Bijnor,2023,6.02130863269853e8,5.632251342243145e8,0.9353865888317663
9,135,Moradabad,2016,5.000915114880858e8,5.530114726828856e8,1.1058205547967206
9,135,Moradabad,2017,5.393314725722961e8,6.055667220108122e8,1.1228099096880302
9,135,Moradabad,2018,5.711620194542047e8,6.027550799094234e8,1.0553136577348203
9,135,Moradabad,2019,6.036972090738013e8,6.329325263034413e8,1.048427120069833
9,135,Moradabad,2020,6.305346357997472e8,6.875430751416472e8,1.090412859350054
9,135,Moradabad,2021,6.490980823661648e8,7.32116146891374e8,1.1278975655305936
9,135,Moradabad,2022,6.593031567428805e8,5.938564659968797e8,0.9007335395308533
9,135,Moradabad,2023,6.796941201815984e8,6.379381439248747e8,0.9385665183545099
9,136,Rampur,2016,2.921853989131242e8,2.5197874331495154e8,0.8623933442679408
9,136,Rampur,2017,3.037909703635111e8,2.772342130875087e8,0.9125821374999229
9,136,Rampur,2018,3.2281555344352025e8,2.781706412214382e8,0.8617014832592536
9,136,Rampur,2019,3.415895556655292e8,2.9873400293404347e8,0.8745407989773313
9,136,Rampur,2020,3.499972518434437e8,3.150437566348059e8,0.9001320866820042
9,136,Rampur,2021,3.613244957536879e8,3.331239256974032e8,0.9219522329991464
9,136,Rampur,2022,3.625628162269455e8,2.892302343701923e8,0.7977382716189769
9,136,Rampur,2023,3.800989623331343e8,3.1337505663238966e8,0.8244564907749865
9,137,Jyotiba Phule Nagar,2016,2.9413623327577746e8,2.4554758807486317e8,0.8348090452516322
9,137,Jyotiba Phule Nagar,2017,3.124695107079886e8,2.5159732976273426e8,0.8051900141958456
9,137,Jyotiba Phule Nagar,2018,3.2673502076590836e8,2.5020376469270703e8,0.7657696567273311
9,137,Jyotiba Phule Nagar,2019,3.469363418939875e8,3.156175034278482e8,0.9097274206121961
9,137,Jyotiba Phule Nagar,2020,3.575453881368605e8,3.2679634201695627e8,0.9139996007775825
9,137,Jyotiba Phule Nagar,2021,3.6310992214198834e8,3.282822124915016e8,0.9040849408767522
9,137,Jyotiba Phule Nagar,2022,3.7446856530681294e8,2.823668252673591e8,0.7540468050662884
9,137,Jyotiba Phule Nagar,2023,3.811293062605124e8,2.861486836444363e8,0.7507916052218923
9,138,Meerut,2016,4.392734870475068e8,5.778863922233738e8,1.315550355901348
9,138,Meerut,2017,4.664034079055454e8,5.170515652264726e8,1.1085930258279424
9,138,Meerut,2018,4.891528323280752e8,5.206565999702926e8,1.0644047536069214
9,138,Meerut,2019,5.073663175396062e8,6.048578576663954e8,1.192152172417671
9,138,Meerut,2020,5.3094880257313126e8,6.036827460548062e8,1.1369886194849395
9,138,Meerut,2021,5.3259584314697456e8,6.293546496365477e8,1.18167397987534
9,138,Meerut,2022,5.432591714340763e8,6.152084287074672e8,1.132440023209294
9,138,Meerut,2023,5.486539524920343e8,5.854035098069518e8,1.066981304241039
9,139,Baghpat,2016,2.3438749415435815e8,1.9714730817030692e8,0.8411170095981045
9,139,Baghpat,2017,2.4373476676634118e8,1.7588503650977764e8,0.721624735130182
